iter	Passed	Remaining
0	2	231
1	3	176
2	5	175
3	6	164
4	8	165
5	10	163
6	11	157
7	13	153
8	14	146
9	16	145
10	17	139
11	19	140
12	20	138
13	21	134
14	23	133
15	24	130
16	25	125
17	27	125
18	28	121
19	29	118
20	30	114
21	32	114
22	33	113
23	35	113
24	37	112
25	38	110
26	40	109
27	42	109
28	43	107
29	45	105
30	46	103
31	47	101
32	48	99
33	50	98
34	52	96
35	53	95
36	55	95
37	57	94
38	59	92
39	60	90
40	61	89
41	62	86
42	64	84
43	65	83
44	66	81
45	68	80
46	70	79
47	71	77
48	73	76
49	74	74
50	76	73
51	78	72
52	79	70
53	81	69
54	82	67
55	83	65
56	84	64
57	86	62
58	88	61
59	89	59
60	90	58
61	92	56
62	93	54
63	94	53
64	96	52
65	97	50
66	99	49
67	101	47
68	102	46
69	104	44
70	105	42
71	106	41
72	107	39
73	109	38
74	111	37
75	112	35
76	113	34
77	116	32
78	118	31
79	119	29
80	120	28
81	122	26
82	124	25
83	125	23
84	127	22
85	129	21
86	130	19
87	131	17
88	133	16
89	135	15
90	137	13
91	138	12
92	140	10
93	142	9
94	143	7
95	144	6
96	145	4
97	146	2
98	147	1
99	148	0
